Title,Author,Gitenberg Status,Formatting Complexity,Formatting Notes,Gitenberg URL,Repo Cover,RTC 1st GEN,RTC 2nd GEN,RTC Other Gen,RTC Cover?,RTC Good Cover?,Need to Add to CAN Submit List,CAN REQUEST DATE,Notes,"Name in rtc/books.json, Official Name",ISBN 13,Tagged for ePUB gen Process (y/n)
A Christmas Carol,Charles Dickens,ASCIIDOC,Low,,https://github.com/GITenberg/A-Christmas-Carol_46,,,,,YES,,,7/7/2015,,,,
A Little Princess,Frances Hodgson Burnett,ASCIIDOC,,,https://github.com/GITenberg/A-Little-Princess--13-Being-the-whole-story-of-Sara-Crewe-now-told-for-the-first-time_146,,,,,NO,,,7/7/2015,,,,
A Portrait of the Artist as a Young Man,James Joyce,ASCIIDOC,,,https://github.com/GITenberg/A-Portrait-of-the-Artist-as-a-Young-Man_4217,,,,,NO,,,7/7/2015,,,,
A Room with a View,E. M. Forster,ASCIIDOC,,,https://github.com/GITenberg/A-Room-with-a-View_2641,,,,,NO,,,7/7/2015,,,,
Agnes Grey,Anne Bronte,ASCIIDOC,,,https://github.com/GITenberg/Agnes-Grey_767,,,,,NO,,,7/7/2015,,,,
Anne of Green Gables,L.M. Montgomery,ASCIIDOC,,,https://github.com/GITenberg/Anne-of-Green-Gables_45,,,,,NO,,,7/7/2015,,,,
"The Personal History, Adventures, Experience and Observation of David Copperfield the Younger of Blunderstone Rookery",Charles Dickens,ASCIIDOC,,,https://github.com/GITenberg/David-Copperfield_766,,,,,NO,,,7/7/2015,,,,
Far From the Madding Crowd,Thomas Hardy,ASCIIDOC,,,https://github.com/GITenberg/Far-from-the-Madding-Crowd_27,,,X,,YES,,,7/7/2015,,,,
Howards End,E. M. Forster,ASCIIDOC,,,https://github.com/GITenberg/Howards-End_2946,,,,,NO,,,7/7/2015,,,,
Jacob's Room,Virginia Woolf,ASCIIDOC,,,https://github.com/GITenberg/Jacob-s-Room_5670,,,,,NO,,,7/7/2015,,,,
The Merry Adventures of Robin Hood,Howard Pyle,ASCIIDOC,,,https://github.com/GITenberg/The-Merry-Adventures-of-Robin-Hood_10148,,,,,NO,,,,,,,
Sense and Sensibility,Jane Austen,ASCIIDOC,,,https://github.com/GITenberg/Sense-and-Sensibility_161,,,,,NO,,,,,,,
The Secret Garden,Frances Hodgson Burnett,ASCIIDOC,,,https://github.com/GITenberg/The-Secret-Garden_113,,,,,NO,,,,,,,
The Adventures of Tom Sawyer,Mark Twain,ASCIIDOC,,,https://github.com/GITenberg/The-Adventures-of-Tom-Sawyer_74,,,,,NO,,,,,,,
The Invisible Man,H.G. Wells,ASCIIDOC,,,https://github.com/GITenberg/The-Invisible-Man--A-Grotesque-Romance_5230,,,,,NO,,,,,,,
The Last of the Mohicans,James Fenimore Cooper,ASCIIDOC,,,https://github.com/GITenberg/The-Last-of-the-Mohicans--A-Narrative-of-1757_27681,,,,,NO,,,,,,,
